economy,economycode,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig
India,IND,163567930,0.697789363,1,27,2,4,2,2,1,1,0,2,1,1,1,1,2,2,1,1,1,2,1,2,2,,,,,,,2,,,,,,,,,,,,,,1,1,,2,3,2,,,,2,1,,2,1,1,2,,6,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,1,4,2,,1,1,4,4,4,4,4,5,1,2,1,1
India,IND,198758820,1.547396051,1,45,1,4,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,3,2,,0,0,4,4,4,4,1,5,1,2,1,0
India,IND,174602540,0.734082772,1,30,1,2,2,1,1,1,0,2,1,2,,,2,2,2,,,,2,,1,,,,,,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,0,0,4,4,4,4,4,5,1,2,0,0
India,IND,206696113,0.585836826,2,30,1,2,1,1,1,1,0,1,1,2,,,2,2,2,,,,2,,2,1,1,2,1,1,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,0,1,4,4,4,4,4,5,1,1,0,0
India,IND,188791491,0.592321609,2,65,1,3,1,2,1,1,0,2,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,1,0,4,4,4,4,2,5,2,2,0,0
India,IND,115116884,0.833926364,2,30,1,4,2,2,1,1,0,1,2,2,,,2,2,2,,,,2,,2,1,2,1,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,3,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,0,4,4,4,4,4,5,2,2,0,0
India,IND,117454980,1.69324151,1,31,1,5,2,2,1,1,0,2,2,1,2,,2,2,2,,,,1,2,2,,,,,,,2,,,,,,,,,,,,,,2,,,1,2,2,,,,2,1,,2,2,2,2,,1,1,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,3,2,1,,1,0,4,4,4,4,1,5,2,2,1,0
India,IND,126099154,0.433497869,2,42,2,5,2,2,1,1,0,2,2,1,2,,2,2,2,,,,2,,2,1,1,1,2,1,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,1,,1,2,2,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,1,1,2,2,1,,2,2,3,3,1,1,,1,1,2,4,4,2,2,5,2,2,0,0
India,IND,120040842,0.412326583,2,27,2,3,1,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,1,1,1,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,0,4,4,4,4,4,5,2,2,0,0
India,IND,122062331,0.640323179,1,50,1,2,1,1,1,1,0,1,2,2,,,2,2,2,,,,2,,2,2,2,1,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,3,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,4,2,1,,0,0,4,4,4,4,4,6,1,2,0,0
India,IND,171394171,0.660113093,1,34,2,1,2,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,1,2,1,2,1,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,5,1,2,0,0
India,IND,114614036,0.640406433,2,30,1,1,2,1,1,1,0,1,2,2,,,2,2,2,,,,2,,2,1,2,1,2,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,4,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,0,0,4,4,4,4,4,5,1,2,0,0
India,IND,114440817,0.349179429,2,30,3,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,2,2,,1,,,,,,1,1,,,,,,,,,,1,2,2,2,2,,,2,2,1,2,1,,2,2,1,2,2,2,1,,2,1,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,1,4,4,4,4,4,5,1,1,1,0
India,IND,138000505,2.416926705,1,28,1,2,1,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,1,1,2,1,1,,,,,2,,,1,2,1,2,1,,2,2,1,2,2,2,2,,1,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,1,3,3,1,,1,0,4,4,4,4,4,5,1,2,0,0
India,IND,184858387,0.656247699,1,30,1,4,2,1,1,1,0,1,1,2,,,2,2,2,,,,1,2,2,,,,,,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,4,1,1,,0,1,4,4,4,4,2,5,1,2,0,0
India,IND,135083284,1.224441919,1,42,1,4,2,1,1,1,0,1,1,2,,,2,2,2,,,,1,2,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,1,2,1,2,1,3,1,1,2,,,,1,2,2,2,1,2,2,,,2,2,,,,,,,1,2,2,2,2,2,2,,,,,,2,2,2,2,4,1,,1,1,4,3,4,4,3,4,1,2,0,0
India,IND,151394815,1.614720943,1,40,1,3,2,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,3,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,2,2,2,2,2,,,,,,3,3,3,3,,3,,0,0,4,4,3,4,4,5,2,2,0,0
India,IND,173867750,0.727262269,2,54,1,5,1,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,4,1,2,,0,0,4,4,4,4,4,5,1,2,0,0
India,IND,170129018,2.416926705,1,60,1,4,2,2,1,1,0,2,1,1,2,,2,1,2,,,,1,1,1,,,,,,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,1,2,1,2,,,2,1,1,1,2,,,2,,,,,,3,3,1,4,,1,,0,0,1,1,1,4,2,5,1,2,1,0
India,IND,191948075,0.725544325,2,35,2,4,1,2,1,1,0,1,2,2,,,2,2,2,,,,2,,2,2,2,2,2,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,5,1,1,1,2,1,,0,0,4,4,4,4,2,5,2,2,0,0
India,IND,166641138,0.732971928,2,30,1,4,2,1,1,1,0,1,2,2,,,2,2,2,,,,2,,2,1,2,2,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,3,,0,0,4,4,4,4,4,5,2,2,0,0
India,IND,205003226,2.065290169,2,22,1,5,1,2,1,1,0,1,1,2,,,2,2,2,,,,1,2,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,3,3,2,,,,2,,,,2,,,,,,1,2,1,2,,,2,1,2,1,2,,,1,1,1,2,,,1,3,1,1,4,1,,0,0,1,1,4,1,4,5,1,2,1,0
India,IND,113337361,0.825141366,1,25,2,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,4,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,1,1,3,1,,0,1,4,4,4,2,2,5,2,2,0,0
