economy,economycode,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig
India,IND,199893106,0.325736094,1,18,3,3,2,1,1,1,1,2,1,2,,,1,1,2,,,,2,,2,,,,,,,1,,,,,,,,,,1,2,2,1,2,,,2,2,2,,,,2,2,2,2,2,2,2,,4,2,2,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,4,1,,0,0,4,4,4,4,2,5,1,1,1,0
India,IND,124497814,1.32732808,2,41,1,1,2,2,1,1,0,1,2,2,,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,3,,2,2,2,2,,2,3,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,2,1,,0,0,4,4,4,4,1,5,2,2,1,0
India,IND,183293857,1.461843403,2,23,1,2,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,1,1,1,1,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,4,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,3,1,1,3,2,,0,1,2,4,4,4,2,5,1,2,0,0
India,IND,152780466,0.390209499,1,17,2,2,2,1,1,1,0,2,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,5,1,2,0,0
India,IND,205473124,2.416926705,2,27,1,1,1,2,1,1,0,1,1,2,,,2,2,2,,,,2,,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,8,,,2,,,,2,,,,1,2,2,,,2,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,1,1,1,,1,0,4,3,4,4,3,5,2,2,0,0
India,IND,178577766,1.159232548,2,45,3,5,1,2,1,1,0,1,2,1,1,2,1,1,1,2,,2,2,,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,1,1,2,1,,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,0,0,4,4,4,4,4,5,1,1,1,0
India,IND,164347218,0.272743111,2,48,2,2,1,1,1,1,0,2,3,1,2,,2,2,2,,,,2,,2,1,2,1,2,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,2,5,1,1,0,0
India,IND,165129867,0.586724682,1,27,1,3,2,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,2,1,1,2,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,3,3,1,,0,0,4,4,4,4,4,5,1,2,0,0
India,IND,203022308,1.211073187,1,35,2,1,2,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,3,3,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,4,5,2,2,0,0
India,IND,186920918,0.706114775,1,16,2,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,2,1,2,2,2,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,3,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,5,2,2,0,0
India,IND,179230569,0.373915851,2,28,3,4,1,2,1,1,0,1,2,1,1,2,2,1,2,,,,2,,1,,,,,,1,1,,,,,,,,,,,,,,2,,,1,1,1,1,2,,1,1,,2,2,2,2,,1,3,3,2,,,,2,,,,1,2,2,,,2,2,,,,,,,1,2,2,2,1,,2,,,,,,3,3,3,4,,1,,1,0,4,2,4,4,3,5,1,1,1,1
India,IND,208332657,0.754650531,1,57,1,5,2,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,1,2,2,2,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,2,2,2,,1,3,3,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,4,2,2,,1,0,4,4,4,4,2,5,1,2,0,0
India,IND,210219992,0.951115805,2,17,2,1,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,2,,,1,2,2,,,,1,1,,1,2,1,2,2,3,1,1,2,,,,1,2,1,2,2,,,,,,1,2,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,1,1,1,,1,1,1,4,4,4,4,3,1,2,1,0
India,IND,179477226,0.563038643,2,50,2,5,1,2,1,1,0,2,2,1,2,,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,3,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,3,3,2,2,,0,1,4,4,4,4,1,5,1,2,1,0
India,IND,199335103,0.282274253,1,29,3,5,2,1,1,1,1,2,1,1,1,1,1,1,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,1,2,2,1,1,2,,1,1,1,3,2,,2,2,2,2,2,2,2,,2,1,1,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,0,0,4,4,4,4,4,1,1,1,1,1
India,IND,190284266,0.429561325,1,21,2,3,2,1,1,1,0,1,2,2,,,2,2,2,,,,2,,2,1,2,1,1,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,2,2,,2,2,,,,,2,,,,,,2,3,2,3,1,1,,0,0,3,4,4,4,4,5,1,2,0,0
India,IND,167948093,2.416926705,2,34,2,2,1,2,1,1,1,2,2,1,1,1,1,1,2,,,,2,,2,,,,,,,2,,,,,,,,,,2,2,1,1,1,1,,1,1,2,,,,2,2,1,2,1,2,2,,2,1,4,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,1,2,4,4,4,2,5,1,1,1,1
India,IND,137704474,1.887149743,2,57,2,5,1,2,1,1,1,2,1,1,2,,1,1,2,,,,2,,2,,,,,,,1,,,,,,,,,,1,1,2,1,1,2,,1,1,1,1,2,,1,1,1,1,1,1,2,2,1,2,2,1,1,,,1,1,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,2,,1,1,4,4,4,4,1,1,1,1,1,1
India,IND,205583218,1.196956486,2,45,1,4,1,2,1,1,0,2,2,2,,,2,2,2,,,,1,2,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,2,,0,0,4,4,4,4,4,5,1,2,0,0
India,IND,120469001,0.5631494,1,39,2,5,2,1,1,1,1,,,1,1,1,1,1,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,1,2,1,2,1,2,,1,1,1,3,1,,2,2,2,2,2,2,1,,2,1,1,1,1,,,2,,,,1,1,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,1,1,4,1,,0,1,4,4,4,4,1,1,1,1,1,1
India,IND,179666440,2.416926705,1,45,1,3,2,2,1,1,0,2,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,7,,,2,,,,1,2,1,2,1,2,2,,,1,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,1,3,1,,0,1,4,3,4,4,2,3,2,2,0,0
India,IND,186648692,0.39913656,1,18,2,2,2,2,1,1,0,2,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,1,1,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,5,1,1,0,0
India,IND,165995789,2.068262006,1,75,1,2,2,1,1,1,0,2,1,2,,,2,2,2,,,,2,,2,2,2,2,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,4,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,3,3,1,,0,0,4,4,4,4,4,5,2,2,0,0
India,IND,170654715,1.674131383,1,23,1,3,1,1,1,1,0,1,1,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,1,2,1,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,3,1,2,0,0
India,IND,188682230,1.792989074,1,28,1,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,5,2,2,0,0
India,IND,169096906,0.500118086,1,35,1,2,2,1,1,1,0,2,1,2,,,2,2,2,,,,1,2,2,,,,,,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,4,1,,0,1,4,4,4,4,4,5,1,2,0,0
India,IND,178009392,0.960811795,2,28,2,5,1,2,1,1,0,2,2,2,,,2,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,2,,,2,1,2,,,,2,1,,2,1,2,1,,3,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,2,2,5,2,2,1,,1,1,4,4,4,4,2,5,1,1,1,0
India,IND,145966503,0.25558529,2,24,3,5,1,2,1,1,1,1,2,1,1,2,1,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,1,2,2,2,1,1,,1,1,1,2,1,,2,1,2,2,2,2,2,,3,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,3,2,2,,1,0,4,4,4,4,2,5,1,1,1,1
India,IND,118534515,0.602703221,2,30,1,4,2,1,1,1,0,1,1,1,1,2,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,1,4,3,1,,0,0,4,4,4,4,4,5,1,2,1,0
India,IND,197270633,0.593007386,1,48,1,4,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,2,1,2,2,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,1,4,4,4,4,4,5,2,2,0,0
India,IND,166965912,0.904054832,2,30,1,4,1,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,1,1,1,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,4,2,1,,0,0,4,4,4,4,4,5,1,1,0,0
India,IND,190051353,2.416926705,1,28,1,1,2,1,1,1,0,2,1,2,,,2,2,2,,,,2,,2,1,2,2,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,1,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,4,5,2,2,0,0
India,IND,112435369,1.747457195,2,65,1,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,1,2,1,1,1,1,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,1,2,4,4,4,4,5,1,2,0,0
India,IND,192847399,1.528325449,1,35,1,2,1,1,1,1,0,2,1,2,,,2,2,2,,,,2,,2,1,1,1,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,9,,,1,2,2,2,2,,,,2,,,,,,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,1,1,1,1,,0,0,4,3,4,4,4,4,1,2,0,0
India,IND,166380815,0.725544325,2,40,2,4,1,2,1,1,0,1,2,1,2,,2,2,2,,,,2,,1,,,,,,1,1,,,,,,,,,,,,,,2,,,2,1,2,,,,2,2,,2,2,2,2,,1,2,1,2,,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,3,3,,1,,0,0,4,4,4,4,4,1,1,1,1,0
India,IND,201794195,0.343878083,2,39,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,1,1,1,,,,,,2,1,,,,,,,,,,1,1,2,1,1,1,,2,1,1,2,1,,2,2,2,2,1,1,1,,2,1,1,2,,,,1,1,,,1,2,1,1,,,2,,,,,,,1,2,1,2,,,2,,,,,,1,1,1,3,2,1,,1,1,4,1,4,4,1,1,1,1,1,1
India,IND,205716733,0.585836826,2,27,1,3,1,1,1,1,0,2,1,2,,,2,2,2,,,,1,2,1,,,,,,1,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,6,1,1,2,,,,1,2,1,2,1,2,2,,,1,1,2,1,2,,,2,2,1,1,2,,,2,,,,,,3,3,1,1,4,1,,0,1,1,4,1,4,2,3,1,1,1,0
India,IND,148105947,1.085501382,2,18,2,5,1,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,,,,,2,,,2,2,2,,,,2,2,,1,1,2,1,1,3,1,1,1,2,1,2,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,4,1,,1,1,4,4,4,4,4,3,1,1,0,0
India,IND,125377846,1.590419974,2,18,3,5,2,2,1,1,0,2,1,1,1,1,1,1,2,,,,1,2,1,,,,,,1,1,,,,,,,,,,,,,,1,1,,2,2,2,,,,2,1,,1,2,2,1,2,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,5,3,4,2,,2,,1,1,4,4,4,4,4,5,1,1,1,1
India,IND,161943964,1.071852532,2,72,1,2,1,1,1,1,0,2,1,2,,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,1,1,2,,,2,,,,,,1,1,1,3,1,1,,0,0,4,4,1,4,2,5,2,2,1,0
India,IND,120354334,0.489252011,1,36,2,2,2,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,1,2,1,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,4,5,1,1,0,0
India,IND,147268368,0.999187344,1,40,1,2,2,2,1,1,0,2,1,2,,,2,2,2,,,,2,,2,2,2,1,1,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,5,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,1,4,4,4,4,4,5,1,2,0,0
India,IND,206268666,0.541277335,1,41,2,4,1,1,1,1,0,1,2,2,,,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,1,2,1,2,2,2,2,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,2,1,,1,1,4,4,4,4,1,5,1,2,1,0
India,IND,170637456,0.241130256,2,34,3,1,1,2,1,1,0,1,2,1,2,,2,2,2,,,,2,,2,,,,,,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,2,2,1,1,1,2,,,1,1,1,1,4,1,,0,1,4,3,4,1,4,5,1,1,1,0
India,IND,129922164,0.21743007,2,27,3,5,2,1,1,1,1,1,2,1,1,1,1,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,1,1,2,1,1,2,,1,1,1,3,2,,2,1,1,2,2,2,2,,3,3,3,2,,,,2,,,,1,1,1,1,,,1,1,1,1,,,2,2,2,,,,,2,,,,,,3,3,3,3,,3,,1,0,1,4,4,4,1,5,1,1,1,1
India,IND,130723626,0.938719984,1,50,1,2,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,4,2,,,,2,,,,2,,,,,,1,3,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,2,4,4,4,4,5,2,2,0,0
India,IND,121119050,1.054277282,2,50,1,1,1,1,1,1,0,1,1,1,2,,2,2,3,,,,2,,2,2,3,1,1,3,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,5,4,1,5,4,,0,0,4,4,4,4,4,5,1,2,0,0
India,IND,201311110,2.291885175,1,47,1,3,1,1,1,1,0,1,2,2,,,2,2,3,,,,2,,2,2,1,2,2,2,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,2,1,,0,1,4,4,4,4,4,5,2,2,0,0
India,IND,206423832,1.139871631,2,36,1,4,1,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,2,2,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,2,3,3,2,3,,0,0,4,4,4,4,1,5,1,1,1,0
India,IND,192778021,0.896137707,2,21,3,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,9,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,4,4,4,4,4,5,1,1,0,0
India,IND,172895364,0.281847104,2,32,2,4,1,1,1,1,1,1,2,2,,,2,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,1,1,,2,1,2,,,,2,2,,2,2,2,2,,3,3,4,2,,,,2,,,,2,,,,,,1,2,1,1,,,2,2,2,,,,,2,,,,,,3,3,3,3,,3,,0,0,1,4,4,4,4,5,1,1,1,1
India,IND,122784613,0.713816162,1,22,1,1,2,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,9,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,4,5,2,2,0,0
India,IND,178171925,0.962267938,1,34,2,5,2,2,1,1,0,2,2,2,,,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,2,2,2,1,,3,2,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,3,2,1,,1,1,4,4,4,4,1,5,1,2,1,0
India,IND,149416057,0.580448824,2,20,2,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,2,1,2,1,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,3,1,1,2,,,,2,,,,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,3,3,1,1,3,1,,1,1,2,4,4,4,2,5,1,1,0,0
India,IND,154944871,0.716269504,1,46,1,3,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,1,1,2,,,2,,,,,,1,1,1,1,2,1,,0,1,4,1,1,4,2,5,2,2,1,0
India,IND,170216640,0.72863678,1,48,1,4,1,2,1,1,0,1,2,1,1,2,2,2,2,,,,2,,2,,,,,,,1,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,6,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,2,2,2,2,2,,,,,,1,1,1,1,3,1,,0,1,4,4,3,4,4,5,2,2,1,0
India,IND,189249850,0.839166723,1,60,1,4,1,1,1,1,0,2,1,1,2,,2,2,2,,,,2,,2,2,3,4,1,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,2,2,1,,2,,,,,,5,5,5,5,,3,,0,0,4,4,2,4,4,5,2,2,0,0
India,IND,130756670,0.239488264,2,25,3,3,1,1,1,1,1,2,2,2,,,1,1,2,,,,1,1,1,,,,,,1,1,,,,,,,,,,1,1,2,1,1,1,,2,2,2,,,,2,2,2,2,2,2,2,,3,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,2,2,1,,0,0,4,4,4,4,4,5,1,1,1,1
India,IND,127521960,0.275628782,1,22,2,4,2,1,1,1,0,1,1,2,,,2,2,1,2,,1,2,,2,1,1,2,2,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,5,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,4,5,1,1,0,0
India,IND,163287602,0.462482938,2,27,3,5,2,1,1,1,1,2,2,1,1,2,1,1,2,,,,2,,2,,,,,,,2,,,,,,,,,,1,1,2,1,2,,,2,1,1,2,1,,2,2,1,1,2,2,1,1,2,2,2,2,,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,1,3,3,,2,,1,1,4,4,4,4,4,1,1,1,1,0
India,IND,180592865,1.249555469,2,35,1,1,1,1,1,1,0,2,2,1,2,,2,2,2,,,,2,,2,2,1,2,2,1,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,5,2,2,0,0
India,IND,153820354,0.764162725,1,35,1,1,1,1,1,1,0,2,1,2,,,2,2,2,,,,2,,2,2,1,2,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,1,2,,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,0,1,4,4,4,4,4,3,2,2,0,0
India,IND,195439930,0.589764373,1,26,3,5,2,2,1,1,0,2,2,2,,,2,2,2,,,,3,,2,1,2,2,1,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,0,0,4,4,4,4,4,5,1,1,0,0
India,IND,143102620,0.422386403,1,60,1,5,1,1,1,1,0,2,2,2,,,2,2,2,,,,2,,2,2,1,2,1,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,1,2,2,2,2,2,,,,,,1,1,1,1,5,1,,0,1,4,4,3,4,4,5,2,2,0,0
India,IND,158245209,2.416926705,2,34,1,5,2,2,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,5,1,,0,0,4,4,4,4,4,5,2,2,0,0
India,IND,186771173,0.241766026,1,28,3,3,1,2,1,1,1,2,2,1,2,,1,1,2,,,,1,2,2,,,,,,,1,,,,,,,,,,1,1,2,1,1,2,,1,1,1,1,2,,2,1,1,1,2,2,2,2,1,3,1,1,2,1,1,2,,,,1,1,1,2,,,2,,,,,,,1,2,2,1,,,2,,,,,,3,3,3,3,,3,,1,0,4,1,4,4,1,2,1,1,1,1
India,IND,170083975,1.002958812,2,17,1,2,1,1,0,0,0,,,2,,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,3,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,3,3,2,4,3,,0,0,2,4,4,4,4,5,1,2,0,0
India,IND,193997008,0.597836224,1,35,1,2,2,1,1,1,0,2,2,2,,,2,2,2,,,,1,2,1,,,,,,2,1,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2,2,2,2,,1,3,3,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,3,3,1,,1,0,4,4,4,4,2,5,1,2,0,0
India,IND,116110095,1.87459895,2,45,1,1,1,1,1,1,0,1,2,1,2,,2,2,2,,,,1,2,1,,,,,,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,2,1,4,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,1,1,2,1,,0,1,4,4,4,2,2,5,2,2,0,0
